,url,privacyStatus,licensedContent,license
M_IpPOUhjTY,https://youtu.be/M_IpPOUhjTY,public,True,youtube
qUPmIEykGOY,https://youtu.be/qUPmIEykGOY,public,True,youtube
MLN1f1rBE3Q,https://youtu.be/MLN1f1rBE3Q,public,False,youtube
QRx2mDWGeQg,https://youtu.be/QRx2mDWGeQg,public,True,youtube
oCrgwbI8ou0,https://youtu.be/oCrgwbI8ou0,public,False,youtube
OUdXby3ONzg,https://youtu.be/OUdXby3ONzg,public,True,youtube
YpnKWU-pBuM,https://youtu.be/YpnKWU-pBuM,public,False,youtube
N52HJPTd5Zo,https://youtu.be/N52HJPTd5Zo,public,False,youtube
NIOyxPVfXHA,https://youtu.be/NIOyxPVfXHA,public,False,youtube
h25b8GbHcs8,https://youtu.be/h25b8GbHcs8,public,False,youtube
yyPH0jjexh0,https://youtu.be/yyPH0jjexh0,public,False,youtube
-gpk-qudJzA,https://youtu.be/-gpk-qudJzA,public,False,youtube
DlBhBLTtoAg,https://youtu.be/DlBhBLTtoAg,public,False,youtube
h9YLidVhczs,https://youtu.be/h9YLidVhczs,public,False,youtube
MDtmoV4CdCo,https://youtu.be/MDtmoV4CdCo,public,True,youtube
2DzgMAK7s4M,https://youtu.be/2DzgMAK7s4M,public,False,youtube
NpeWlH6RyOk,https://youtu.be/NpeWlH6RyOk,public,False,youtube
ljZwIcRUd4s,https://youtu.be/ljZwIcRUd4s,public,True,youtube
rgmO7MMKcs8,https://youtu.be/rgmO7MMKcs8,public,True,youtube
UM7m_sCwFwg,https://youtu.be/UM7m_sCwFwg,public,True,youtube
o__-z-lePjA,https://youtu.be/o__-z-lePjA,public,False,youtube
pyRrSNQ-mfM,https://youtu.be/pyRrSNQ-mfM,public,True,youtube
YwHQKW8l7p0,https://youtu.be/YwHQKW8l7p0,public,False,youtube
prENP-cteb0,https://youtu.be/prENP-cteb0,public,False,youtube
30IWFnuY43w,https://youtu.be/30IWFnuY43w,public,True,youtube
tjfMJYr8dMo,https://youtu.be/tjfMJYr8dMo,public,True,youtube
YOa8K_B3F2s,https://youtu.be/YOa8K_B3F2s,public,False,youtube
gWofeL2RV-g,https://youtu.be/gWofeL2RV-g,public,False,youtube
8gbE745d0uw,https://youtu.be/8gbE745d0uw,public,False,youtube
91GBC02ru9s,https://youtu.be/91GBC02ru9s,public,True,youtube
HB-zqdequrs,https://youtu.be/HB-zqdequrs,public,False,youtube
hsPsulhkZSU,https://youtu.be/hsPsulhkZSU,public,False,youtube
7bJApapF7QA,https://youtu.be/7bJApapF7QA,public,False,youtube
annlmtwKcQU,https://youtu.be/annlmtwKcQU,public,True,youtube
f-XCgIF2uo4,https://youtu.be/f-XCgIF2uo4,public,False,youtube
KlN9m8naRtU,https://youtu.be/KlN9m8naRtU,public,False,youtube
FavL7MOoPKY,https://youtu.be/FavL7MOoPKY,public,False,youtube
8FfbvObOkNA,https://youtu.be/8FfbvObOkNA,public,True,youtube
q1eNcoRLzFY,https://youtu.be/q1eNcoRLzFY,public,False,youtube
3iL4BxCOT0c,https://youtu.be/3iL4BxCOT0c,public,True,youtube
o1bwcna56rk,https://youtu.be/o1bwcna56rk,public,False,youtube
czoy5r0O7yk,https://youtu.be/czoy5r0O7yk,public,True,youtube
f2zwJX3cTyU,https://youtu.be/f2zwJX3cTyU,public,False,youtube
xYJ7msi3tAk,https://youtu.be/xYJ7msi3tAk,public,True,youtube
