,url,privacyStatus,licensedContent,license
f0UkyInOLb4,https://youtu.be/f0UkyInOLb4,public,True,youtube
Uv_ZNuQBiDQ,https://youtu.be/Uv_ZNuQBiDQ,public,True,youtube
c3L9-ZmDg8s,https://youtu.be/c3L9-ZmDg8s,public,True,youtube
qySjInbImdc,https://youtu.be/qySjInbImdc,public,True,youtube
e9ztIfQZnvw,https://youtu.be/e9ztIfQZnvw,public,True,youtube
_w8fweM7Wa8,https://youtu.be/_w8fweM7Wa8,public,True,youtube
0ALPVQAj-Vc,https://youtu.be/0ALPVQAj-Vc,public,False,youtube
h1gqXxjxU-Y,https://youtu.be/h1gqXxjxU-Y,public,True,youtube
zFDKFBn4Z9c,https://youtu.be/zFDKFBn4Z9c,public,False,youtube
jNfPS1Pz5js,https://youtu.be/jNfPS1Pz5js,unlisted,False,youtube
zMJCUx2A0J8,https://youtu.be/zMJCUx2A0J8,public,False,youtube
qRT8aRsYxyQ,https://youtu.be/qRT8aRsYxyQ,public,True,youtube
D_7VUy30SVE,https://youtu.be/D_7VUy30SVE,public,False,youtube
pDgyF9UOcmA,https://youtu.be/pDgyF9UOcmA,public,True,youtube
wG6Iuo7NIkA,https://youtu.be/wG6Iuo7NIkA,public,False,youtube
s5o6MV-ii3U,https://youtu.be/s5o6MV-ii3U,public,False,youtube
ZM7CgRJ0InM,https://youtu.be/ZM7CgRJ0InM,unavailable,unavailable,unavailable
zulK1gpne3Y,https://youtu.be/zulK1gpne3Y,public,True,youtube
3Z1v4xMQFZ4,https://youtu.be/3Z1v4xMQFZ4,public,True,youtube
vuLuNIMQW1E,https://youtu.be/vuLuNIMQW1E,public,False,youtube
NZCkJ5gl7lE,https://youtu.be/NZCkJ5gl7lE,public,False,youtube
mywxGXRX7wM,https://youtu.be/mywxGXRX7wM,public,False,youtube
iR9Rz3ytAyY,https://youtu.be/iR9Rz3ytAyY,public,True,youtube
WxrKHjRPu14,https://youtu.be/WxrKHjRPu14,public,False,youtube
jvsePuvn2u8,https://youtu.be/jvsePuvn2u8,public,False,youtube
TMNCGXioB-c,https://youtu.be/TMNCGXioB-c,public,True,youtube
R23xteq5-G0,https://youtu.be/R23xteq5-G0,public,False,youtube
fNWWTXp4eKo,https://youtu.be/fNWWTXp4eKo,public,False,youtube
gKQ_WCURrCA,https://youtu.be/gKQ_WCURrCA,public,False,youtube
BnKPCOiNGkc,https://youtu.be/BnKPCOiNGkc,public,True,youtube
a2KFDp5AWdc,https://youtu.be/a2KFDp5AWdc,public,False,youtube
HrtSYwHVh74,https://youtu.be/HrtSYwHVh74,public,True,youtube
Svo1HsVkMz4,https://youtu.be/Svo1HsVkMz4,public,False,youtube
PSNzMzL6LHQ,https://youtu.be/PSNzMzL6LHQ,public,False,youtube
hkcQiA9oDr0,https://youtu.be/hkcQiA9oDr0,public,False,youtube
205IxDsWfJE,https://youtu.be/205IxDsWfJE,public,False,youtube
_ZFKpQtmZ3M,https://youtu.be/_ZFKpQtmZ3M,public,False,youtube
STZz3FixcLA,https://youtu.be/STZz3FixcLA,public,False,youtube
qynLomhMNjs,https://youtu.be/qynLomhMNjs,public,False,youtube
BrV6K_lefyE,https://youtu.be/BrV6K_lefyE,public,False,youtube
taJ60kskkns,https://youtu.be/taJ60kskkns,public,True,youtube
xy7v3Yb9shQ,https://youtu.be/xy7v3Yb9shQ,public,False,youtube
KgPLcPAiYEE,https://youtu.be/KgPLcPAiYEE,public,True,youtube
7FTqmKssWy4,https://youtu.be/7FTqmKssWy4,public,False,youtube
csm_1p1sU8o,https://youtu.be/csm_1p1sU8o,public,True,youtube
J7wBGRY3380,https://youtu.be/J7wBGRY3380,public,False,youtube
JEtGdOfrnBA,https://youtu.be/JEtGdOfrnBA,public,True,youtube
NAGQJTKEQ_s,https://youtu.be/NAGQJTKEQ_s,public,False,creativeCommon
pXztGhYJXDI,https://youtu.be/pXztGhYJXDI,public,True,youtube
YjY6PQqqMBg,https://youtu.be/YjY6PQqqMBg,public,False,youtube
uKMJs4MGMEA,https://youtu.be/uKMJs4MGMEA,public,False,youtube
xzBSPM2GppA,https://youtu.be/xzBSPM2GppA,public,False,youtube
J_UF5cajbxo,https://youtu.be/J_UF5cajbxo,public,False,youtube
